WardName,Wardcode,Pop2013,Aged0_15,Aged16_64,Aged65plus,PctBame,PctNotBornUK,MeanHousePrice2013,PctOpenSpace,CarsPerHH2011,AvgPubTransAccessibility11,CrimeRate1213,PopDensityKm2013,PctWithNoQual11,PctLev4Qual11,TurnoutMayoralElection12,Candidate,x,y,InnerOuter
Southwark - Riverside,E05000548,15500,2050,12500,1000,31.2,40.5,522500,23.2173,0.458464174,4.6,139.9,11923.1,13.5,54.9,30.47641848,Boris,534026.4196,179640.2353,Inner
Southwark - Rotherhithe,E05000549,14400,2500,10900,1050,40.9,43.4,372250,34.092,0.45792826,4.9,96.6,9600.0,17.5,43.0,31.01378958,Ken,535351.2139,179345.592,Inner
Southwark - South Bermondsey,E05000550,14050,2850,10150,1050,44.8,41.1,230000,3.01353,0.468657238,3.7,94.8,14050.0,21.9,30.9,30.36381759,Ken,534296.179,178504.5263,Inner
Southwark - South Camberwell,E05000551,12850,2550,9350,950,44.1,35.8,340000,19.9729,0.589366294,4.3,62.5,9884.6,12.4,49.0,38.3910387,Ken,533235.0836,175545.7662,Inner
Southwark - Surrey Docks,E05000552,14450,1800,11750,850,30.9,42.7,355000,40.2948,0.637896825,2.7,67.1,7605.3,11.8,56.0,29.70749543,Boris,536196.5788,179658.0037,Inner
Southwark - The Lane,E05000553,15900,3300,11200,1400,50.7,37.7,350000,5.99441,0.497024742,5.7,149.7,11357.1,17.5,42.0,37.64290168,Ken,534233.8792,176137.076,Inner
Southwark - Village,E05000554,12450,2800,8200,1450,20.1,22.0,850000,33.8352,1.004366812,3.8,74.0,4446.4,9.4,63.7,51.72461179,Boris,533043.9979,174046.8858,Inner
Sutton - Beddington North,E05000555,10550,2200,6850,1500,23.5,16.6,265000,52.9653,1.2727272729999999,2.6,64.7,2110.0,19.8,25.1,33.22809787,Boris,529699.0804,165794.2157,Outer
Sutton - Beddington South,E05000556,11000,2300,7050,1650,28.8,20.1,375500,39.0768,1.261358085,2.0,58.7,3548.4,21.0,26.7,31.75412294,Boris,530153.2665,163084.8799,Outer
Sutton - Belmont,E05000557,10350,1850,6650,1800,22.2,22.1,253000,19.0296,1.247001845,2.1,34.7,4500.0,13.7,40.4,38.03630363,Boris,525866.6824,162543.3891,Outer
Sutton - Carshalton Central,E05000558,10400,1950,6900,1550,13.7,15.0,290000,26.9531,1.187991422,3.1,52.1,5200.0,15.4,35.7,38.13572918,Boris,527521.5899,164403.6978,Outer
Sutton - Carshalton South and Clockhouse,E05000559,10100,2100,6350,1650,16.7,13.9,350122,68.1823,1.5,2.0,41.3,1422.5,15.5,34.8,38.18512999,Boris,528037.1924,161749.2665,Outer
Sutton - Cheam,E05000560,10550,2100,6300,2150,21.2,18.6,365000,24.7135,1.520950434,2.1,45.0,2705.1,14.6,38.6,41.18608071,Boris,524340.2647,162489.4105,Outer
Sutton - Nonsuch,E05000561,10900,1950,6950,2000,15.3,15.7,359950,10.4038,1.4339810659999999,2.2,48.1,5736.8,18.6,27.1,37.79752938,Boris,523125.6607,164979.418,Outer
Sutton - St. Helier,E05000562,12300,2950,8000,1300,25.5,22.6,212000,26.0124,0.9532100109999999,2.9,62.6,8200.0,27.3,17.7,22.02690309,Boris,526515.2696,166362.6677,Outer
Sutton - Stonecot,E05000563,11000,2150,7150,1700,20.9,18.1,293500,21.497,1.42740703,2.5,54.3,5500.0,20.5,22.5,31.99055629,Boris,524671.3592,165938.4646,Outer
Sutton - Sutton Central,E05000564,11400,2300,7850,1300,24.1,26.9,220000,12.8639,0.8128003079999999,4.3,176.8,8769.2,18.6,31.2,30.23112481,Boris,526068.6986,164466.2374,Outer
Sutton - Sutton North,E05000565,10650,2150,6650,1850,21.9,21.1,250000,27.0188,1.140970221,3.1,50.0,5605.3,21.6,25.7,33.61385337,Boris,525845.5752,165540.7804,Outer
Sutton - Sutton South,E05000566,9950,1600,6600,1750,24.4,29.4,210000,8.141110000000001,0.8880888709999999,3.3,36.3,7653.8,15.7,41.6,34.42415476,Boris,526323.1142,163451.5034,Outer
Sutton - Sutton West,E05000567,10900,1950,7350,1550,23.0,25.1,240000,23.1222,1.076709402,3.6,36.8,6055.6,13.5,38.6,33.91221977,Boris,525048.5536,164113.1323,Outer
Sutton - The Wrythe,E05000568,10500,2050,6950,1450,16.9,15.3,225500,18.0031,1.147023667,2.5,59.1,7000.0,22.2,23.2,29.7219559,Boris,527538.3202,165525.2268,Outer
Sutton - Wallington North,E05000569,10950,2150,7300,1450,19.6,16.6,238000,19.9204,1.1324767390000001,3.4,49.0,6843.8,16.4,30.3,38.16395456,Boris,528820.7603,164751.5064,Outer
Sutton - Wallington South,E05000570,10600,1950,6800,1850,21.3,18.5,250000,9.4933,1.0753623190000001,3.2,65.1,6235.3,18.7,32.0,37.29923593,Boris,528922.8461,163343.4878,Outer
