,UUID,OBJEKTART,NAME,SPRACHCODE,E,N,"Z,,"
283951,{87FD0E31-77C4-4C32-9BEE-9BCC2DBC6E52},Flurname swisstopo,Les Maulieux,Franzoesisch inkl. Lokalsprachen,2525474,1196668,"1158,,"
199115,{3DC4B8A1-0332-436F-8D22-A77E9C466F22},Lokalname swisstopo,La Rite,Franzoesisch inkl. Lokalsprachen,2583354,1148078,"1037,,"
282919,{F8C0A8F6-BA72-4484-A7D8-4BC4209BC05C},Flurname swisstopo,La Provenchère,Franzoesisch inkl. Lokalsprachen,2521779,1167148,"811,,"
116767,{9CA5EF44-5920-4357-994D-D38665566822},Flurname swisstopo,Munggehof,Hochdeutsch inkl. Lokalsprachen,2685225,1283528,"452,,"
194859,{7D2FA2F1-2D5D-4652-8AA6-5361838DD145},Flurname swisstopo,Uf der Wasme,Hochdeutsch inkl. Lokalsprachen,2597461,1156587,"1478,,"
117377,{2D9BAF8F-1FA3-4DA8-997E-5B7BD54AF3C1},Flurname swisstopo,Wisplätz,Hochdeutsch inkl. Lokalsprachen,2740410,1272899,"448,,"
157196,{ADB5A202-C63B-415C-A01A-52F17A59BB9F},Flurname swisstopo,Schaffner,Hochdeutsch inkl. Lokalsprachen,2704797,1262866,"506,,"
287647,{9BDCA759-7346-40EB-8FE0-74E9D3E7F28D},Flurname swisstopo,Willisänis,Hochdeutsch inkl. Lokalsprachen,2774448,1207280,"1479,,"
281953,{320D4F1E-696D-49BB-BC88-27A10B11B827},Flurname swisstopo,Champ Giroud,Franzoesisch inkl. Lokalsprachen,2536692,1162401,"603,,"
262235,{2781117B-D50A-42C3-ABEF-3D20A518837A},Flurname swisstopo,Wassergraben,Hochdeutsch inkl. Lokalsprachen,0,0,"328,,"
677,{1FE0EE0F-CD12-44D0-8E50-4F8633C2F186},Offenes Gebaeude,Restaurant Baldegg,Hochdeutsch inkl. Lokalsprachen,2663382,1258061,"569,,"
124257,{658B2E0A-3935-4AAD-9909-DB29E640C816},Flurname swisstopo,Obs Fischlis Noll,Hochdeutsch inkl. Lokalsprachen,2686075,1214232,"1189,,"
44942,{2D0AE309-DFCE-4498-84F3-67C68B6FDDB7},Flurname swisstopo,Rossacher,Hochdeutsch inkl. Lokalsprachen,2615620,1232993,"447,,"
39123,{7BC4CC4E-E158-44C1-9674-30961C760993},Lokalname swisstopo,Stöss,Hochdeutsch inkl. Lokalsprachen,2746191,1197288,"2041,,"
188331,{E836A063-4610-4C79-B7EE-54FEB361A56D},Flurname swisstopo,Les Noutes,Franzoesisch inkl. Lokalsprachen,2564565,1170515,"834,,"
111205,{49932F11-9F2B-4890-91BD-1D6D48241C1F},Flurname swisstopo,Dreispitz,Hochdeutsch inkl. Lokalsprachen,2740865,1266309,"474,,"
264087,{88642371-0A1D-45CB-B87A-951AE74192AD},Flurname swisstopo,Les neufs Esserts,Franzoesisch inkl. Lokalsprachen,2568446,1247523,"710,,"
75007,{57E29533-D5A3-4759-A77D-953C253AF191},Flurname swisstopo,Bachmatt,Hochdeutsch inkl. Lokalsprachen,2658053,1231608,"640,,"
123591,{B11B093B-3987-4CF6-8293-596B9C3C674E},Flurname swisstopo,Nüstafel,Hochdeutsch inkl. Lokalsprachen,2682038,1208408,"1473,,"
315589,{568390C1-5D3B-40F4-9F6F-BD9417F414B0},Haltestelle Bus,"Konolfingen, Haldenweg",Hochdeutsch inkl. Lokalsprachen,2613506,1191969,"660,"
183040,{5F351F58-9D66-46E0-9A8C-A75CAB8F8779},Flurname swisstopo,Obere Längacher,Hochdeutsch inkl. Lokalsprachen,2601170,1196006,"788,,"
101994,{2A39D832-BC57-436D-9DA5-EC2E29870271},Flurname swisstopo,Gänsematte,Hochdeutsch inkl. Lokalsprachen,2634591,1233130,"462,,"
322682,{633C26B4-74EE-48A2-8D76-236EF66E7BBE},Uebrige Bahnen,La Toula,Franzoesisch inkl. Lokalsprachen,2605279,1132463,"1981,,"
225552,{80234297-F175-450B-8433-A209EF44C9EC},Flurname swisstopo,La Costa,Italienisch inkl. Lokalsprachen,2704675,1130357,"918,,"
49046,{817B8F07-2880-4894-8903-136C761B74CA},Flurname swisstopo,Breite,Hochdeutsch inkl. Lokalsprachen,2615957,1207429,"563,,"
42205,{F79BB9AE-7855-419F-8888-B6B1EF2D30A5},Lokalname swisstopo,Larecióm,Italienisch inkl. Lokalsprachen,2687780,1142816,"1783,,"
156921,{C7711534-B43F-4DBB-BCF2-325520FC216B},Flurname swisstopo,Hinteres Grüebli,Hochdeutsch inkl. Lokalsprachen,2726221,1250073,"637,,"
36829,{602B4594-04B5-46C9-A1F0-1A05BADACCF6},Lokalname swisstopo,Ritzmad,Hochdeutsch inkl. Lokalsprachen,2601649,1140291,"1846,,"
28777,{D19F0CE1-A3D3-40B0-9BB1-66AE0630315B},Lokalname swisstopo,Grépon,Franzoesisch inkl. Lokalsprachen,2615370,1102263,"2392,,"
